,Index of title,Title,Data,Question
147,8.2.1,Customer communication,"Communication with customers shall include establishing specific requirements for contingency actions, when relevant.",Does communication with customers include establishing specific requirements for contingency actions when relevant?
148,8.2.2,Determining the requirements for products and services,"When determining the requirements for the products and services to be offered to customers, the organization shall ensure that the requirements for the products and services are defined, including",Does the organization ensure that the requirements for the products and services are defined including when determining the requirements for the products and services to be offered to customers?
149,8.2.2,Determining the requirements for products and services,"When determining the requirements for the products and services to be offered to customers, the organization shall ensure that any applicable statutory and regulatory requirements",Does the organization ensure that any applicable statutory and regulatory requirements when determining the requirements for the products and services to be offered to customers?
150,8.2.2,Determining the requirements for products and services,"When determining the requirements for the products and services to be offered to customers, the organization shall ensure that those considered necessary by the organization",Does the organization ensure that those considered necessary by the organization when determining the requirements for the products and services to be offered to customers?
151,8.2.2,Determining the requirements for products and services,"When determining the requirements for the products and services to be offered to customers, the organization shall ensure that the organization can meet the claims for the products and services it offers.",Does the organization ensure that the organization can meet the claims for the products and services it offers when determining the requirements for the products and services to be offered to customers?
152,8.2.3,Review of the requirements for products and services,"The customer’s requirements shall be confirmed by the organization before acceptance, when the customer does not provide a documented statement of their requirements.  .   The organization shall retain documented information, as applicable on the results of the review",Does the customers requirements be confirmed by the organization before acceptance when the customer does not provide a documented statement of their requirements and  the organization  retain documented information as applicable on the results of the review?
153,8.2.3,Review of the requirements for products and services,"The customer’s requirements shall be confirmed by the organization before acceptance, when the customer does not provide a documented statement of their requirements.  .   The organization shall retain documented information, as applicable on any new requirements for the products and services.",Does the customers requirements be confirmed by the organization before acceptance when the customer does not provide a documented statement of their requirements and  the organization  retain documented information as applicable on any new requirements for the products and services?
154,8.2.3,Review of the requirements for products and services,  The organization shall ensure that it has the ability to meet the requirements for products and services to be offered to customers.,Does the organization ensure that it has the ability to meet the requirements for products and services to be offered to customers?
155,8.2.3,Review of the requirements for products and services,The organization shall ensure that contract or order requirements differing from those previously defined are resolved.,Does the organization ensure that contract or order requirements differing from those previously defined are resolved?
156,8.2.3,Review of the requirements for products and services,"The organization shall conduct a review before committing to supply products and services to a customer, to include requirements specified by the customer, including the requirements for delivery and post- delivery activities",Does the organization conduct a review before committing to supply products and services to a customer to include requirements specified by the customer including the requirements for delivery and post- delivery activities?
157,8.2.3,Review of the requirements for products and services,"The organization shall conduct a review before committing to supply products and services to a customer, to include requirements not stated by the customer, but necessary for the specified or intended use, when known",Does the organization conduct a review before committing to supply products and services to a customer to include requirements not stated by the customer but necessary for the specified or intended use when known?
158,8.2.3,Review of the requirements for products and services,"The organization shall conduct a review before committing to supply products and services to a customer, to include requirements specified by the organization",Does the organization conduct a review before committing to supply products and services to a customer to include requirements specified by the organization?
159,8.2.3,Review of the requirements for products and services,"The organization shall conduct a review before committing to supply products and services to a customer, to include statutory and regulatory requirements applicable to the products and services",Does the organization conduct a review before committing to supply products and services to a customer to include statutory and regulatory requirements applicable to the products and services?
160,8.2.3,Review of the requirements for products and services,"The organization shall conduct a review before committing to supply products and services to a customer, to include contract or order requirements differing from those previously expressed.",Does the organization conduct a review before committing to supply products and services to a customer to include contract or order requirements differing from those previously expressed?
161,8.2.4,Changes to requirements for products and services,"The organization shall ensure that relevant documented information is amended, and that relevant persons are made aware of the changed requirements, when the requirements for products and services are changed.",Does the organization ensure that relevant documented information is amended and that relevant persons are made aware of the changed requirements when the requirements for products and services are changed?
162,8.3,Design and development of products and services,,
163,8.3.1,General,"The organization shall establish, implement and maintain a design and development process that is appropriate to ensure the subsequent provision of products and services.",Does the organization establish implement and maintain a design and development process that is appropriate to ensure the subsequent provision of products and services?
164,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the nature, duration and complexity of the design and development activities",Does the organization consider the nature duration and complexity of the design and development activities in determining the stages and controls for design and development?
165,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the required process stages, including applicable design and development reviews",Does the organization consider the required process stages including applicable design and development reviews in determining the stages and controls for design and development?
166,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the required design and development verification and validation activities",Does the organization consider the required design and development verification and validation activities in determining the stages and controls for design and development?
167,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the responsibilities and authorities involved in the design and development process",Does the organization consider the responsibilities and authorities involved in the design and development process in determining the stages and controls for design and development?
168,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the internal and external resource needs for the design and development of products and services",Does the organization consider the internal and external resource needs for the design and development of products and services in determining the stages and controls for design and development?
169,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the need to control interfaces between persons involved in the design and development process",Does the organization consider the need to control interfaces between persons involved in the design and development process in determining the stages and controls for design and development?
170,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the need for involvement of customers and users in the design and development process",Does the organization consider the need for involvement of customers and users in the design and development process in determining the stages and controls for design and development?
171,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the requirements for subsequent provision of products and services",Does the organization consider the requirements for subsequent provision of products and services in determining the stages and controls for design and development?
172,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the level of control expected for the design and development process by customers and other relevant interested parties",Does the organization consider the level of control expected for the design and development process by customers and other relevant interested parties in determining the stages and controls for design and development?
173,8.3.2,Design and development planning,"In determining the stages and controls for design and development, the organization shall consider the documented information needed to demonstrate that design and development requirements have been met.",Does the organization consider the documented information needed to demonstrate that design and development requirements have been met in determining the stages and controls for design and development?
174,8.3.3,Design and development inputs,Conflicting design and development inputs shall be resolved.,Does conflicting design and development inputs be resolved?
175,8.3.3,Design and development inputs,The organization shall determine the requirements essential for the specific types of products and services to be designed and developed.,Does the organization determine the requirements essential for the specific types of products and services to be designed and developed?
176,8.3.3,Design and development inputs,The organization shall retain documented information on design and development inputs.,Does the organization retain documented information on design and development inputs?
177,8.3.3,Design and development inputs,The organization shall consider functional and performance requirements,Does the organization consider functional and performance requirements?
178,8.3.3,Design and development inputs,The organization shall consider information derived from previous similar design and development activities,Does the organization consider information derived from previous similar design and development activities?
179,8.3.3,Design and development inputs,The organization shall consider statutory and regulatory requirements,Does the organization consider statutory and regulatory requirements?
180,8.3.3,Design and development inputs,The organization shall consider standards or codes of practice that the organization has committed to implement,Does the organization consider standards or codes of practice that the organization has committed to implement?
181,8.3.3,Design and development inputs,The organization shall consider potential consequences of failure due to the nature of the products and services.,Does the organization consider potential consequences of failure due to the nature of the products and services?
182,8.3.3,Design and development inputs,"Inputs shall be adequate for design and development purposes, complete and unambiguous.",Does inputs be adequate for design and development purposes complete and unambiguous?
183,8.3.4,Design and development controls,The organization shall apply controls to the design and development process to ensure that the results to be achieved are defined,Does the organization apply controls to the design and development process to ensure that the results to be achieved are defined?
184,8.3.4,Design and development controls,The organization shall apply controls to the design and development process to ensure that reviews are conducted to evaluate the ability of the results of design and development to meet requirements,Does the organization apply controls to the design and development process to ensure that reviews are conducted to evaluate the ability of the results of design and development to meet requirements?
185,8.3.4,Design and development controls,The organization shall apply controls to the design and development process to ensure that verification activities are conducted to ensure that the design and development outputs meet the input requirements,Does the organization apply controls to the design and development process to ensure that verification activities are conducted to ensure that the design and development outputs meet the input requirements?
186,8.3.4,Design and development controls,The organization shall apply controls to the design and development process to ensure that validation activities are conducted to ensure that the resulting products and services meet the requirements for the specified application or intended use,Does the organization apply controls to the design and development process to ensure that validation activities are conducted to ensure that the resulting products and services meet the requirements for the specified application or intended use?
187,8.3.4,Design and development controls,"The organization shall apply controls to the design and development process to ensure that any necessary actions are taken on problems determined during the reviews, or verification and validation activities",Does the organization apply controls to the design and development process to ensure that any necessary actions are taken on problems determined during the reviews or verification and validation activities?
188,8.3.4,Design and development controls,The organization shall apply controls to the design and development process to ensure that documented information of these activities is retained.,Does the organization apply controls to the design and development process to ensure that documented information of these activities is retained?
189,8.3.5,Design and development outputs,The organization shall ensure that design and development outputs meet the input requirements,Does the organization ensure that design and development outputs meet the input requirements?
190,8.3.5,Design and development outputs,The organization shall ensure that design and development outputs are adequate for the subsequent processes for the provision of products and services,Does the organization ensure that design and development outputs are adequate for the subsequent processes for the provision of products and services?
191,8.3.5,Design and development outputs,"The organization shall ensure that design and development outputs include or reference monitoring and measuring requirements, as appropriate, and acceptance criteria",Does the organization ensure that design and development outputs include or reference monitoring and measuring requirements as appropriate and acceptance criteria?
192,8.3.5,Design and development outputs,The organization shall ensure that design and development outputs specify the characteristics of the products and services that are essential for their intended purpose and their safe and proper provision.,Does the organization ensure that design and development outputs specify the characteristics of the products and services that are essential for their intended purpose and their safe and proper provision?
193,8.3.5,Design and development outputs,The organization shall retain documented information on design and development outputs.,Does the organization retain documented information on design and development outputs?
194,8.3.6,Design and development changes,The organization shall retain documented information on design and development changes,Does the organization retain documented information on design and development changes?
195,8.3.6,Design and development changes,The organization shall retain documented information on the results of reviews,Does the organization retain documented information on the results of reviews?
196,8.3.6,Design and development changes,The organization shall retain documented information on the authorization of the changes,Does the organization retain documented information on the authorization of the changes?
197,8.3.6,Design and development changes,The organization shall retain documented information on the actions taken to prevent adverse impacts.,Does the organization retain documented information on the actions taken to prevent adverse impacts?
198,8.3.6,Design and development changes,"The organization shall identify, review and control changes made during, or subsequent to, the design and development of products and services, to the extent necessary to ensure that there is no adverse impact on conformity to requirements.",Does the organization identify review and control changes made during or subsequent to the design and development of products and services to the extent necessary to ensure that there is no adverse impact on conformity to requirements?
199,8.4,"Control of externally provided processes, products and services",,
200,8.4.1,General,"The organization shall determine and apply criteria for the evaluation, selection, monitoring of performance, and re-evaluation of external providers, based on their ability to provide processes or products and services in accordance with requirements.",Does the organization determine and apply criteria for the evaluation selection monitoring of performance and re-evaluation of external providers based on their ability to provide processes or products and services in accordance with requirements?
201,8.4.1,General,"The organization shall ensure that externally provided processes, products and services conform to requirements.",Does the organization ensure that externally provided processes products and services conform to requirements?
202,8.4.1,General,"The organization shall determine the controls to be applied to externally provided processes, products and services when products and services from external providers are intended for incorporation into the organization’s own products and services",Does the organization determine the controls to be applied to externally provided processes products and services when products and services from external providers are intended for incorporation into the organizations own products and services?
203,8.4.1,General,"The organization shall determine the controls to be applied to externally provided processes, products and services when products and services are provided directly to the customer(s) by external providers on behalf of the organization",Does the organization determine the controls to be applied to externally provided processes products and services when products and services are provided directly to the customer(s) by external providers on behalf of the organization?
204,8.4.1,General,"The organization shall determine the controls to be applied to externally provided processes, products and services when a process, or part of a process, is provided by an external provider as a result of a decision by the organization.",Does the organization determine the controls to be applied to externally provided processes products and services when a process or part of a process is provided by an external provider as a result of a decision by the organization?
205,8.4.1,General,The organization shall retain documented information of these activities and any necessary actions arising from the evaluations.,Does the organization retain documented information of these activities and any necessary actions arising from the evaluations?
206,8.4.2,Type and extent of control,"The organization shall ensure that externally provided processes, products and services do not adversely affect the organization’s ability to consistently deliver conforming products and services to its customers.",Does the organization ensure that externally provided processes products and services do not adversely affect the organizations ability to consistently deliver conforming products and services to its customers?
207,8.4.2,Type and extent of control,The organization shall ensure that externally provided processes remain within the control of its quality management system,Does the organization ensure that externally provided processes remain within the control of its quality management system?
208,8.4.2,Type and extent of control,The organization shall define both the controls that it intends to apply to an external provider and those it intends to apply to the resulting output,Does the organization define both the controls that it intends to apply to an external provider and those it intends to apply to the resulting output?
209,8.4.2,Type and extent of control,The organization shall take into consideration,Does the organization take into consideration?
210,8.4.2,Type and extent of control,"The organization shall the potential impact of the externally provided processes, products and services on the organization’s ability to consistently meet customer and applicable statutory and regulatory requirements",Does the organization the potential impact of the externally provided processes products and services on the organizations ability to consistently meet customer and applicable statutory and regulatory requirements?
211,8.4.2,Type and extent of control,The organization shall the effectiveness of the controls applied by the external provider,Does the organization the effectiveness of the controls applied by the external provider?
212,8.4.2,Type and extent of control,"The organization shall determine the verification, or other activities, necessary to ensure that the externally provided processes, products and services meet requirements.",Does the organization determine the verification or other activities necessary to ensure that the externally provided processes products and services meet requirements?
213,8.4.3,Information for external providers,The organization shall ensure the adequacy of requirements prior to their communication to the external provider.,Does the organization ensure the adequacy of requirements prior to their communication to the external provider?
214,8.4.3,Information for external providers,"The organization shall communicate to external providers its requirements for the processes, products and services to be provided",Does the organization communicate to external providers its requirements for the processes products and services to be provided?
215,8.4.3,Information for external providers,The organization shall communicate to external providers its requirements for the approval of,Does the organization communicate to external providers its requirements for the approval of?
216,8.4.3,Information for external providers,The organization shall communicate to external providers its requirements for products and services,Does the organization communicate to external providers its requirements for products and services?
217,8.4.3,Information for external providers,"The organization shall communicate to external providers its requirements for methods, processes and equipment",Does the organization communicate to external providers its requirements for methods processes and equipment?
218,8.4.3,Information for external providers,The organization shall communicate to external providers its requirements for the release of products and services,Does the organization communicate to external providers its requirements for the release of products and services?
219,8.4.3,Information for external providers,"The organization shall communicate to external providers its requirements for competence, including any required qualification of persons",Does the organization communicate to external providers its requirements for competence including any required qualification of persons?
220,8.4.3,Information for external providers,The organization shall communicate to external providers its requirements for the external providers’ interactions with the organization,Does the organization communicate to external providers its requirements for the external providers interactions with the organization?
221,8.4.3,Information for external providers,The organization shall communicate to external providers its requirements for control and monitoring of the external providers’ performance to be applied by the organization,Does the organization communicate to external providers its requirements for control and monitoring of the external providers performance to be applied by the organization?
222,8.4.3,Information for external providers,"The organization shall communicate to external providers its requirements for verification or validation activities that the organization, or its customer, intends to perform at the external providers’ premises.",Does the organization communicate to external providers its requirements for verification or validation activities that the organization or its customer intends to perform at the external providers premises?
223,8.5,Production and service provision,,
224,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the availability of documented information that defines",Does controlled conditions include as applicable the availability of documented information that defines?
225,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the characteristics of the products to be produced, the services to be provided, or the activities to be performed",Does controlled conditions include as applicable the characteristics of the products to be produced the services to be provided or the activities to be performed?
226,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the results to be achieved",Does controlled conditions include as applicable the results to be achieved?
227,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the availability and use of suitable monitoring and measuring resources",Does controlled conditions include as applicable the availability and use of suitable monitoring and measuring resources?
228,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the implementation of monitoring and measurement activities at appropriate stages to verify that criteria for control of processes or outputs, and acceptance criteria for products and services, have been met",Does controlled conditions include as applicable the implementation of monitoring and measurement activities at appropriate stages to verify that criteria for control of processes or outputs and acceptance criteria for products and services have been met?
229,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the use of suitable infrastructure and environment for the operation of processes",Does controlled conditions include as applicable the use of suitable infrastructure and environment for the operation of processes?
230,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the appointment of competent persons, including any required qualification",Does controlled conditions include as applicable the appointment of competent persons including any required qualification?
231,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the validation, and periodic revalidation, of the ability to achieve planned results of the processes for production and service provision, where the resulting output cannot be verified by subsequent monitoring or measurement",Does controlled conditions include as applicable the validation and periodic revalidation of the ability to achieve planned results of the processes for production and service provision where the resulting output cannot be verified by subsequent monitoring or measurement?
232,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the implementation of actions to prevent human error",Does controlled conditions include as applicable the implementation of actions to prevent human error?
233,8.5.1,Control of production and service provision,"Controlled conditions shall include, as applicable the implementation of release, delivery and post-delivery activities.",Does controlled conditions include as applicable the implementation of release delivery and post-delivery activities?
234,8.5.1,Control of production and service provision,The organization shall implement production and service provision under controlled conditions.,Does the organization implement production and service provision under controlled conditions?
235,8.5.2,Identification and traceability,"The organization shall control the unique identification of the outputs when traceability is a requirement, and shall retain the documented information necessary to enable traceability.",Does the organization control the unique identification of the outputs when traceability is a requirement and  retain the documented information necessary to enable traceability?
236,8.5.2,Identification and traceability,The organization shall identify the status of outputs with respect to monitoring and measurement requirements throughout production and service provision.,Does the organization identify the status of outputs with respect to monitoring and measurement requirements throughout production and service provision?
237,8.5.2,Identification and traceability,The organization shall use suitable means to identify outputs when it is necessary to ensure the conformity of products and services.,Does the organization use suitable means to identify outputs when it is necessary to ensure the conformity of products and services?
238,8.5.3,Property belonging to customers or external providers,The organization shall exercise care with property belonging to customers or external providers while it is under the organization’s control or being used by the organization.,Does the organization exercise care with property belonging to customers or external providers while it is under the organizations control or being used by the organization?
239,8.5.3,Property belonging to customers or external providers,"The organization shall identify, verify, protect and safeguard customers’ or external providers’ property provided for use or incorporation into the products and services.",Does the organization identify verify protect and safeguard customers or external providers property provided for use or incorporation into the products and services?
240,8.5.3,Property belonging to customers or external providers,"When the property of a customer or external provider is lost, damaged or otherwise found to be unsuitable for use, the organization shall report this to the customer or external provider and retain documented information on what has occurred.",Does the organization report this to the customer or external provider and retain documented information on what has occurred when the property of a customer or external provider is lost damaged or otherwise found to be unsuitable for use?
241,8.5.4,Preservation,"The organization shall preserve the outputs during production and service provision, to the extent necessary to ensure conformity to requirements.",Does the organization preserve the outputs during production and service provision to the extent necessary to ensure conformity to requirements?
242,8.5.5,Post-delivery activities,"In determining the extent of post-delivery activities that are required, the organization shall consider statutory and regulatory requirements",Does the organization consider statutory and regulatory requirements in determining the extent of post-delivery activities that are required?
243,8.5.5,Post-delivery activities,"In determining the extent of post-delivery activities that are required, the organization shall consider the potential undesired consequences associated with its products and services",Does the organization consider the potential undesired consequences associated with its products and services in determining the extent of post-delivery activities that are required?
244,8.5.5,Post-delivery activities,"In determining the extent of post-delivery activities that are required, the organization shall consider the nature, use and intended lifetime of its products and services",Does the organization consider the nature use and intended lifetime of its products and services in determining the extent of post-delivery activities that are required?
245,8.5.5,Post-delivery activities,"In determining the extent of post-delivery activities that are required, the organization shall consider customer requirements",Does the organization consider customer requirements in determining the extent of post-delivery activities that are required?
246,8.5.5,Post-delivery activities,"In determining the extent of post-delivery activities that are required, the organization shall consider customer feedback.",Does the organization consider customer feedback in determining the extent of post-delivery activities that are required?
247,8.5.5,Post-delivery activities,The organization shall meet requirements for post-delivery activities associated with the products and services.,Does the organization meet requirements for post-delivery activities associated with the products and services?
248,8.5.6,Control of changes,"The organization shall review and control changes for production or service provision, to the extent necessary to ensure continuing conformity with requirements.",Does the organization review and control changes for production or service provision to the extent necessary to ensure continuing conformity with requirements?
249,8.5.6,Control of changes,"The organization shall retain documented information describing the results of the review of changes, the person(s) authorizing the change, and any necessary actions arising from the review.",Does the organization retain documented information describing the results of the review of changes the person(s) authorizing the change and any necessary actions arising from the review?
250,8.6,Release of products and services,"The organization shall implement planned arrangements, at appropriate stages, to verify that the product and service requirements have been met.",Does the organization implement planned arrangements at appropriate stages to verify that the product and service requirements have been met?
251,8.6,Release of products and services,"The release of products and services to the customer shall not proceed until the planned arrangements have been satisfactorily completed, unless otherwise approved by a relevant authority and, as applicable, by the customer.",Does the organization not proceed until the planned arrangements have been satisfactorily completed unless otherwise approved by a relevant authority and as applicable by the customer the release of products and services to the customer?
252,8.6,Release of products and services,The documented information shall include evidence of conformity with the acceptance criteria,Does the documented information include evidence of conformity with the acceptance criteria?
253,8.6,Release of products and services,The documented information shall include traceability to the person(s) authorizing the release.,Does the documented information include traceability to the person(s) authorizing the release?
254,8.6,Release of products and services,The organization shall retain documented information on the release of products and services.,Does the organization retain documented information on the release of products and services?
255,8.7,Control of nonconforming outputs,  The organization shall ensure that outputs that do not conform to their requirements are identified and controlled to prevent their unintended use or delivery.,Does the organization ensure that outputs that do not conform to their requirements are identified and controlled to prevent their unintended use or delivery?
256,8.7,Control of nonconforming outputs,The organization shall take appropriate action based on the nature of the nonconformity and its effect on the conformity of products and services.,Does the organization take appropriate action based on the nature of the nonconformity and its effect on the conformity of products and services?
257,8.7,Control of nonconforming outputs,"This shall also apply to nonconforming products and services detected after delivery of products, during or after the provision of services.",Does this also apply to nonconforming products and services detected after delivery of products during or after the provision of services?
258,8.7,Control of nonconforming outputs,The organization shall deal with nonconforming outputs in one or more of the following ways correction,Does the organization deal with nonconforming outputs in one or more of the following ways correction?
259,8.7,Control of nonconforming outputs,"The organization shall deal with nonconforming outputs in one or more of the following ways segregation, containment, return or suspension of provision of products and services",Does the organization deal with nonconforming outputs in one or more of the following ways segregation containment return or suspension of provision of products and services?
260,8.7,Control of nonconforming outputs,The organization shall deal with nonconforming outputs in one or more of the following ways informing the customer,Does the organization deal with nonconforming outputs in one or more of the following ways informing the customer?
261,8.7,Control of nonconforming outputs,The organization shall deal with nonconforming outputs in one or more of the following ways obtaining authorization for acceptance under concession.,Does the organization deal with nonconforming outputs in one or more of the following ways obtaining authorization for acceptance under concession?
262,8.7,Control of nonconforming outputs,The organization shall retain documented information that describes the nonconformity,Does the organization retain documented information that describes the nonconformity?
263,8.7,Control of nonconforming outputs,The organization shall retain documented information that describes the actions taken,Does the organization retain documented information that describes the actions taken?
264,8.7,Control of nonconforming outputs,The organization shall retain documented information that describes any concessions obtained,Does the organization retain documented information that describes any concessions obtained?
265,8.7,Control of nonconforming outputs,The organization shall retain documented information that identifies the authority deciding the action in respect of the nonconformity.,Does the organization retain documented information that identifies the authority deciding the action in respect of the nonconformity?
266,8.7,Control of nonconforming outputs,Conformity to the requirements shall be verified when nonconforming outputs are corrected.,Does the organization be verified when nonconforming outputs are corrected conformity to the requirements?
267,9,Performance evaluation,,
268,9.1,"Monitoring, measurement, analysis and evaluation",,
269,9.1.1,General,The organization shall evaluate the performance and the effectiveness of the quality management system.The organization shall retain appropriate documented information as evidence of the results.,Does the organization evaluate the performance and the effectiveness of the quality management system.the organization  retain appropriate documented information as evidence of the results?
270,9.1.1,General,The organization shall determine what needs to be monitored and measured,Does the organization determine what needs to be monitored and measured?
271,9.1.1,General,"The organization shall determine the methods for monitoring, measurement, analysis and evaluation needed to ensure valid results",Does the organization determine the methods for monitoring measurement analysis and evaluation needed to ensure valid results?
272,9.1.1,General,The organization shall determine when the monitoring and measuring shall be performed,Does the organization determine when the monitoring and measuring  be performed?
273,9.1.1,General,The organization shall determine when the results from monitoring and measurement shall be analysed and evaluated.,Does the organization determine when the results from monitoring and measurement  be analysed and evaluated?
274,9.1.2,Customer satisfaction,"The organization shall determine the methods for obtaining, monitoring and reviewing this information.",Does the organization determine the methods for obtaining monitoring and reviewing this information?
275,9.1.2,Customer satisfaction,The organization shall monitor customers’ perceptions of the degree to which their needs and expectations have been fulfilled.,Does the organization monitor customers perceptions of the degree to which their needs and expectations have been fulfilled?
276,9.1.3,Analysis and evaluation,The results of analysis shall be used to evaluate conformity of products and services,Does the results of analysis be used to evaluate conformity of products and services?
277,9.1.3,Analysis and evaluation,The results of analysis shall be used to evaluate the degree of customer satisfaction,Does the results of analysis be used to evaluate the degree of customer satisfaction?
278,9.1.3,Analysis and evaluation,The results of analysis shall be used to evaluate the performance and effectiveness of the quality management system,Does the results of analysis be used to evaluate the performance and effectiveness of the quality management system?
279,9.1.3,Analysis and evaluation,The results of analysis shall be used to evaluate if planning has been implemented effectively,Does the results of analysis be used to evaluate if planning has been implemented effectively?
280,9.1.3,Analysis and evaluation,The results of analysis shall be used to evaluate the effectiveness of actions taken to address risks and opportunities,Does the results of analysis be used to evaluate the effectiveness of actions taken to address risks and opportunities?
281,9.1.3,Analysis and evaluation,The results of analysis shall be used to evaluate the performance of external providers,Does the results of analysis be used to evaluate the performance of external providers?
282,9.1.3,Analysis and evaluation,The results of analysis shall be used to evaluate the need for improvements to the quality management system.,Does the results of analysis be used to evaluate the need for improvements to the quality management system?
283,9.1.3,Analysis and evaluation,The organization shall analyse and evaluate appropriate data and information arising from monitoring and measurement.,Does the organization analyse and evaluate appropriate data and information arising from monitoring and measurement?
284,9.2,Internal audit,"The organization shall plan, establish, implement and maintain an audit programme(s) including the frequency, methods, responsibilities, planning requirements and reporting, which shall take into consideration the importance of the processes concerned, changes affecting the organization, and the results of previous audits",Does the organization plan establish implement and maintain an audit programme(s) including the frequency methods responsibilities planning requirements and reporting which  take into consideration the importance of the processes concerned changes affecting the organization and the results of previous audits?
285,9.2,Internal audit,The organization shall define the audit criteria and scope for each audit,Does the organization define the audit criteria and scope for each audit?
286,9.2,Internal audit,The organization shall select auditors and conduct audits to ensure objectivity and the impartiality of the audit process,Does the organization select auditors and conduct audits to ensure objectivity and the impartiality of the audit process?
287,9.2,Internal audit,The organization shall ensure that the results of the audits are reported to relevant management,Does the organization ensure that the results of the audits are reported to relevant management?
288,9.2,Internal audit,The organization shall take appropriate correction and corrective actions without undue delay,Does the organization take appropriate correction and corrective actions without undue delay?
289,9.2,Internal audit,The organization shall retain documented information as evidence of the implementation of the audit programme and the audit results.,Does the organization retain documented information as evidence of the implementation of the audit programme and the audit results?
290,9.2,Internal audit,The organization shall conduct internal audits at planned intervals to provide information on whether the quality management system conforms to,Does the organization conduct internal audits at planned intervals to provide information on whether the quality management system conforms to?
291,9.2,Internal audit,The organization shall conduct internal audits at planned intervals to provide information on whether the quality management system the organization’s own requirements for its quality management system,Does the organization conduct internal audits at planned intervals to provide information on whether the quality management system the organizations own requirements for its quality management system?
292,9.2,Internal audit,The organization shall conduct internal audits at planned intervals to provide information on whether the quality management system the requirements of this International Standard,Does the organization conduct internal audits at planned intervals to provide information on whether the quality management system the requirements of this international standard?
293,9.2,Internal audit,The organization shall conduct internal audits at planned intervals to provide information on whether the quality management system is effectively implemented and maintained.,Does the organization conduct internal audits at planned intervals to provide information on whether the quality management system is effectively implemented and maintained?
294,9.3,Management review,,
295,9.3.1,General,"Top management shall review the organization’s quality management system, at planned intervals, to ensure its continuing suitability, adequacy, effectiveness and alignment with the strategic direction of the organization.",Does top management review the organizations quality management system at planned intervals to ensure its continuing suitability adequacy effectiveness and alignment with the strategic direction of the organization?
296,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration the status of actions from previous management reviews,Does the management review be planned and carried out taking into consideration the status of actions from previous management reviews?
297,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration changes in external and internal issues that are relevant to the quality management system,Does the management review be planned and carried out taking into consideration changes in external and internal issues that are relevant to the quality management system?
298,9.3.2,Management review inputs,"The management review shall be planned and carried out taking into consideration information on the performance and effectiveness of the quality management system, including trends in",Does the management review be planned and carried out taking into consideration information on the performance and effectiveness of the quality management system including trends in?
299,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration customer satisfaction and feedback from relevant interested parties,Does the management review be planned and carried out taking into consideration customer satisfaction and feedback from relevant interested parties?
300,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration the extent to which quality objectives have been met,Does the management review be planned and carried out taking into consideration the extent to which quality objectives have been met?
301,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration process performance and conformity of products and services,Does the management review be planned and carried out taking into consideration process performance and conformity of products and services?
302,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration nonconformities and corrective actions,Does the management review be planned and carried out taking into consideration nonconformities and corrective actions?
303,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration monitoring and measurement results,Does the management review be planned and carried out taking into consideration monitoring and measurement results?
304,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration audit results,Does the management review be planned and carried out taking into consideration audit results?
305,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration the performance of external providers,Does the management review be planned and carried out taking into consideration the performance of external providers?
306,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration the adequacy of resources,Does the management review be planned and carried out taking into consideration the adequacy of resources?
307,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration the effectiveness of actions taken to address risks and opportunities (see 6.1 ),Does the management review be planned and carried out taking into consideration the effectiveness of actions taken to address risks and opportunities (see 6.1 )?
308,9.3.2,Management review inputs,The management review shall be planned and carried out taking into consideration opportunities for improvement.,Does the management review be planned and carried out taking into consideration opportunities for improvement?
309,9.3.3,Management review outputs,The organization shall retain documented information as evidence of the results of management reviews.,Does the organization retain documented information as evidence of the results of management reviews?
